username,auth_email,temp_password,app_role,staff_role
Sandra,stf001@staff.import.pending,99,staff,fitness
Roberto,stf002@staff.import.pending,99,staff,swimming
Dan,stf003@staff.import.pending,99,staff,swimming
Angel,stf004@staff.import.pending,99,staff,swimming
Youssef,stf005@staff.import.pending,99,staff,swimming
John,stf006@staff.import.pending,99,lead,support
Bismark,stf007@staff.import.pending,99,staff,support
Giuseppe,stf008@staff.import.pending,99,staff,support
Godsway,stf009@staff.import.pending,99,staff,support
Javier,stf010@staff.import.pending,99,staff,swimming
Aurora,stf011@staff.import.pending,99,staff,swimming
Berta,stf012@staff.import.pending,99,lead,support
Victor,stf013@staff.import.pending,99,ceo,manager
Carlos,stf014@staff.import.pending,99,staff,climbing
Alex,stf015@staff.import.pending,99,staff,climbing
Javi,stf017@staff.import.pending,99,ceo,manager
Raul,stf018@staff.import.pending,99,ceo,manager
Sevitha,stf019@staff.import.pending,99,admin,admin
